# x y z vx vy vz pressure density nx ny nz
4147
1.1500000000000001 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.2000000000000002 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.25 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.3 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.3500000000000001 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.4000000000000001 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.4500000000000002 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.5 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.55 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.6000000000000001 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.6500000000000001 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.7000000000000002 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.75 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.8 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.8500000000000001 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.9000000000000001 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
1.9500000000000002 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.0500000000000003 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.1000000000000001 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.1499999999999999 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.2000000000000002 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.25 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.3000000000000003 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.3500000000000001 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.4000000000000004 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.4500000000000002 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.5 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.5500000000000003 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.6000000000000001 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.6500000000000004 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.7000000000000002 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.75 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
2.8000000000000003 0.10000000000000001 -0.050000000000000003 0 0 0 0 1000 0 0 1
